graph_type,type,value,delta_eval,delta_rank
scale free,add_foaf,betweenness,0.0016612745106814647,5.92
scale free,add_foaf,closeness,0.008505260731786696,7.77
scale free,add_foaf,clustering,0.016247794550762643,4.5
scale free,add_foaf,pagerank,0.0008608202379975828,9.08
scale free,add_foaf,transitivity,0.0004652489452133518,0.0
scale free,add_node_any,betweenness,0.0019795047807993054,8.02
scale free,add_node_any,closeness,0.00795954414667893,7.05
scale free,add_node_any,clustering,-0.01432077045238306,-2.89
scale free,add_node_any,pagerank,0.0008849817086330113,9.53
scale free,add_node_any,transitivity,0.0001329921491432301,0.0
scale free,drop_friend,betweenness,-0.0017054029672639278,-5.69
scale free,drop_friend,closeness,-0.011368467970211413,-9.81
scale free,drop_friend,clustering,0.00037729403926608064,-1.29
scale free,drop_friend,pagerank,-0.0008605162470433086,-8.19
scale free,drop_friend,transitivity,-0.000120213914496744,0.0
small world,add_foaf,betweenness,0.012231363009289146,11.84
small world,add_foaf,closeness,0.011749708268712722,12.55
small world,add_foaf,clustering,0.042142857142857135,6.7
small world,add_foaf,pagerank,0.0018220278694333668,20.17
small world,add_foaf,transitivity,0.0023592564159072905,0.0
small world,add_node_any,betweenness,0.031119202517721326,24.93
small world,add_node_any,closeness,0.024110324404394,23.53
small world,add_node_any,clustering,-0.05621428571428568,-7.76
small world,add_node_any,pagerank,0.0018779395729236815,21.1
small world,add_node_any,transitivity,-0.0021347845237971504,0.0
small world,drop_friend,betweenness,-0.014689316769879559,-18.35
small world,drop_friend,closeness,-0.014652876771839081,-15.02
small world,drop_friend,clustering,0.04076190476190474,1.73
small world,drop_friend,pagerank,-0.0019527450812411287,-24.46
small world,drop_friend,transitivity,-0.00021069368457092287,0.0
